Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
s.lin.t.22.0.000-000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	138.5	3.87	1.4002	4.59	0.0000	4.73	0.1174	0.5153	0.610	0.917	0.970	0.9630	-1.0000	0.5427
s.lin.c.23.0.000-000	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.6	4.26	0.8383	4.72	0.0089	4.76	0.2414	0.5274	0.791	0.984	0.988	0.8780	0.1577	0.6614
s.lin.c.22.0.000-000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.7	3.89	1.3618	4.66	0.0030	4.67	0.0661	0.5284	0.619	0.953	0.935	0.9584	-0.0277	0.4482
s.lin.t.23.0.000-000	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	140.1	4.30	0.7923	4.74	0.0884	4.76	0.0994	0.5328	0.810	0.995	0.988	0.8686	0.5490	0.5153
s.lin.c.27.0.000-000	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	141.2	4.09	0.8725	4.43	0.1411	4.69	0.0663	0.5449	0.712	0.833	0.946	0.8846	0.6288	0.4487
s.lin.c.24.0.000-000	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	141.4	4.00	0.8724	4.42	0.1510	4.65	0.0561	0.5470	0.671	0.828	0.923	0.8846	0.6403	0.4212
s.lin.t.27.0.000-000	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	141.8	4.28	0.7777	4.49	0.1521	4.78	0.0314	0.5514	0.800	0.865	1.000	0.8656	0.6415	0.3256
s.lin.t.33.0.000-000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	141.8	4.54	0.2497	4.67	0.0059	4.75	0.3787	0.5514	0.921	0.958	0.982	0.6774	0.0876	0.7356
s.lin.c.47.0.000-000	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	141.9	4.46	0.3617	4.54	0.2447	4.65	0.1113	0.5525	0.884	0.891	0.923	0.7387	0.7226	0.5340
s.lin.t.24.0.000-000	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	142.1	4.09	0.8481	4.47	0.1618	4.69	0.0627	0.5547	0.712	0.854	0.946	0.8799	0.6521	0.4395
s.lin.t.37.0.000-000	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	142.3	4.65	0.2735	4.71	0.2504	4.76	0.1943	0.5569	0.972	0.979	0.988	0.6924	0.7265	0.6257
s.lin.c.37.0.000-000	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	142.3	4.67	0.1234	4.71	0.4052	4.77	0.1388	0.5569	0.981	0.979	0.994	0.5606	0.8086	0.5703
s.lin.c.77.0.000-000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	142.3	4.51	0.3202	4.57	0.2448	4.65	0.1286	0.5569	0.907	0.906	0.923	0.7186	0.7227	0.5578
s.lin.c.33.0.000-000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.6	4.71	0.3159	4.75	0.0110	4.76	0.0691	0.5602	1.000	1.000	0.988	0.7163	0.1938	0.4555
s.lin.t.34.0.000-000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	143.4	4.60	0.3890	4.68	0.1423	4.77	0.1930	0.5689	0.949	0.964	0.994	0.7508	0.6302	0.6246
s.lin.c.34.0.000-000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	143.8	4.60	0.3519	4.70	0.2119	4.77	0.1922	0.5733	0.949	0.974	0.994	0.7342	0.6981	0.6239
s.lin.t.47.0.000-000	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	143.8	4.58	0.3590	4.60	0.1055	4.61	0.2404	0.5733	0.940	0.922	0.899	0.7375	0.5792	0.6607
s.lin.t.77.0.000-000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	144.0	4.61	0.0955	4.62	0.2374	4.66	0.3782	0.5755	0.954	0.932	0.929	0.5181	0.7174	0.7353
s.lin.t.44.0.000-000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	144.7	4.65	0.2861	4.66	0.1077	4.67	0.3370	0.5832	0.972	0.953	0.935	0.6999	0.5827	0.7164
s.lin.c.44.0.000-000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	144.9	4.66	0.2196	4.66	0.2387	4.69	0.2494	0.5853	0.977	0.953	0.946	0.6561	0.7184	0.6668
s.cyc.34.43.0.000-000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	85.7	3.76	0.5672	4.30	0.0000	4.46	0.0000	-0.0624	0.559	0.766	0.810	0.8133	-1.0000	-1.0000
s.cyc.34.34.0.000-000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.5	3.38	0.3404	4.12	0.0627	4.34	0.2065	-0.0427	0.383	0.672	0.738	0.7287	0.4905	0.6357
s.cyc.17.43.0.x00-000	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	95.9	3.89	0.5309	4.23	0.0068	4.58	0.1359	0.0492	0.619	0.729	0.881	0.8023	0.1118	0.5668
s.cyc.17.34.0.x00-000	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.0	3.46	0.3196	4.15	0.0544	4.42	0.1579	0.0613	0.420	0.688	0.786	0.7182	0.4663	0.5915
s.cyc.34.76.0.000-00x	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	104.7	4.04	0.1345	4.50	0.0499	4.57	0.5161	0.1455	0.689	0.870	0.875	0.5749	0.4516	0.7865
s.cyc.34.45.0.000-0x0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	105.3	3.99	0.1917	4.50	0.0733	4.55	0.4345	0.1521	0.666	0.870	0.863	0.6336	0.5171	0.7582
s.cyc.34.67.0.000-00x	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	109.3	3.53	0.1590	4.22	0.1897	4.41	0.1294	0.1958	0.452	0.724	0.780	0.6026	0.6792	0.5588
s.cyc.17.71.0.x00-x00	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	109.9	3.88	0.5429	4.22	0.0000	4.72	0.0001	0.2024	0.615	0.724	0.964	0.8060	-1.0000	-0.6209
d.lin.c.22.1.001-001	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	110.4	2.32	1.7509	2.57	0.0008	2.70	0.3429	0.2079	-0.109	-0.135	-0.238	1.0000	-0.2530	0.7192
d.lin.t.22.1.001-001	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	111.0	2.20	1.2815	2.59	0.8070	2.59	0.0000	0.2144	-0.165	-0.125	-0.304	0.9483	0.9260	-1.0000
s.cyc.34.54.0.000-0x0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	113.1	3.50	0.1880	4.19	0.1698	4.34	0.1880	0.2374	0.439	0.708	0.738	0.6303	0.6603	0.6203
d.lin.c.27.1.001-001	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	111.5	1.90	0.2636	2.32	0.0037	2.79	0.7559	0.2199	-0.304	-0.266	-0.185	0.6863	0.0081	0.8494
s.lin.c.23.1.011-000	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	111.8	1.86	0.1020	2.57	0.0000	3.10	0.7393	0.2232	-0.323	-0.135	0.000	0.5290	-1.0000	0.8457
s.lin.t.23.1.011-000	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	112.7	1.79	0.1391	2.57	0.0001	3.12	0.6866	0.2330	-0.355	-0.135	0.012	0.5804	-0.6075	0.8335
