Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
s.cyc.17.17.0.x00-x00	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	110.3	3.32	0.3362	3.93	0.0630	4.02	0.0327	0.8927	0.355	0.573	0.548	0.7266	0.4913	0.3323
s.cyc.17.71.0.x00-x00	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	96.4	3.49	0.3769	4.13	0.0016	4.35	0.0217	0.8385	0.434	0.677	0.744	0.7456	-0.1348	0.2648
s.cyc.17.34.0.x00-000	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	72.2	3.25	0.3930	3.88	0.1179	4.15	0.1042	0.7222	0.323	0.547	0.625	0.7525	0.5981	0.5231
s.cyc.34.34.0.000-000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	63.2	3.07	0.4068	3.74	0.1283	3.97	0.3889	0.6686	0.239	0.474	0.518	0.7582	0.6125	0.7399
s.cyc.34.43.0.000-000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	66.9	3.12	0.4991	3.85	0.0208	3.93	0.5617	0.6915	0.262	0.531	0.494	0.7921	0.3024	0.8005
s.cyc.34.71.0.000-x00	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	68.8	3.20	0.3985	3.76	0.0636	3.97	0.1072	0.7028	0.299	0.484	0.518	0.7548	0.4929	0.5278
s.cyc.17.17.1.x00-x11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	97.4	1.14	0.0303	2.50	0.0030	2.57	0.0007	0.8427	-0.657	-0.172	-0.315	0.3280	-0.0277	-0.3006
d.cyc.17.17.1.x01-x01	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	90.4	1.83	0.0859	1.97	0.0239	3.02	0.0017	0.8126	-0.336	-0.448	-0.048	0.5006	0.3261	-0.1545
z.cyc.17.17.1.x01-x10	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	109.7	1.03	0.0140	1.63	0.0782	2.90	0.2532	0.8905	-0.708	-0.625	-0.119	0.2001	0.5281	0.6693
z.cyc.17.17.1.x10-x01	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	105.8	0.91	0.0296	1.79	0.0216	2.83	0.0000	0.8759	-0.763	-0.542	-0.161	0.3241	0.3088	-1.0000
