Name	Type	SCF Energy [h]	S1 VE (eV)	S1 oscillator strength	S2 VE (eV)	S2 oscillator strength	S3 VE (eV)	S3 oscillator strength	Free energy G* (see Eq SI2) [h]	Relative free energy [kcal/mol]
s.lin.t.22.0.000-000	Ox0-AA-s	-1027.15299	3.87	1.4002	4.59	0.0000	4.73	0.1174	-1327.66384	138.5
s.lin.c.23.0.000-000	Ox0-AA-s	-1027.15111	4.26	0.8383	4.72	0.0089	4.76	0.2414	-1327.66196	139.6
s.lin.c.22.0.000-000	Ox0-AA-s	-1027.15097	3.89	1.3618	4.66	0.0030	4.67	0.0661	-1327.66182	139.7
s.lin.t.23.0.000-000	Ox0-AA-s	-1027.15039	4.30	0.7923	4.74	0.0884	4.76	0.0994	-1327.66124	140.1
s.lin.c.27.0.000-000	Ox0-AB-s	-1027.14858	4.09	0.8725	4.43	0.1411	4.69	0.0663	-1327.65943	141.2
s.lin.c.24.0.000-000	Ox0-AB-s	-1027.14827	4.00	0.8724	4.42	0.1510	4.65	0.0561	-1327.65912	141.4
s.lin.t.27.0.000-000	Ox0-AB-s	-1027.14764	4.28	0.7777	4.49	0.1521	4.78	0.0314	-1327.65849	141.8
s.lin.t.33.0.000-000	Ox0-AA-s	-1027.14761	4.54	0.2497	4.67	0.0059	4.75	0.3787	-1327.65846	141.8
s.lin.c.47.0.000-000	Ox0-BB-s	-1027.14747	4.46	0.3617	4.54	0.2447	4.65	0.1113	-1327.65832	141.9
s.lin.t.24.0.000-000	Ox0-AB-s	-1027.14713	4.09	0.8481	4.47	0.1618	4.69	0.0627	-1327.65798	142.1
s.lin.t.37.0.000-000	Ox0-AB-s	-1027.14685	4.65	0.2735	4.71	0.2504	4.76	0.1943	-1327.65770	142.3
s.lin.c.37.0.000-000	Ox0-AB-s	-1027.14685	4.67	0.1234	4.71	0.4052	4.77	0.1388	-1327.65770	142.3
s.lin.c.77.0.000-000	Ox0-BB-s	-1027.14683	4.51	0.3202	4.57	0.2448	4.65	0.1286	-1327.65768	142.3
s.lin.c.33.0.000-000	Ox0-AA-s	-1027.14641	4.71	0.3159	4.75	0.0110	4.76	0.0691	-1327.65726	142.6
s.lin.t.34.0.000-000	Ox0-AB-s	-1027.14513	4.60	0.3890	4.68	0.1423	4.77	0.1930	-1327.65598	143.4
s.lin.c.34.0.000-000	Ox0-AB-s	-1027.14448	4.60	0.3519	4.70	0.2119	4.77	0.1922	-1327.65533	143.8
s.lin.t.47.0.000-000	Ox0-BB-s	-1027.14442	4.58	0.3590	4.60	0.1055	4.61	0.2404	-1327.65527	143.8
s.lin.t.77.0.000-000	Ox0-BB-s	-1027.14410	4.61	0.0955	4.62	0.2374	4.66	0.3782	-1327.65495	144.0
s.lin.t.44.0.000-000	Ox0-BB-s	-1027.14311	4.65	0.2861	4.66	0.1077	4.67	0.3370	-1327.65396	144.7
s.lin.c.44.0.000-000	Ox0-BB-s	-1027.14275	4.66	0.2196	4.66	0.2387	4.69	0.2494	-1327.65360	144.9
s.cyc.34.43.0.000-000	Ox0-C6-s	-1025.95449	3.76	0.5672	4.30	0.0000	4.46	0.0000	-1327.74789	85.7
s.cyc.34.34.0.000-000	Ox0-C6-s	-1025.95172	3.38	0.3404	4.12	0.0627	4.34	0.2065	-1327.74512	87.5
s.cyc.17.43.0.x00-000	Ox0-CX-s	-1025.93831	3.89	0.5309	4.23	0.0068	4.58	0.1359	-1327.73171	95.9
s.cyc.17.34.0.x00-000	Ox0-CX-s	-1025.93643	3.46	0.3196	4.15	0.0544	4.42	0.1579	-1327.72983	97.0
s.cyc.34.76.0.000-00x	Ox0-CX-s	-1025.92426	4.04	0.1345	4.50	0.0499	4.57	0.5161	-1327.71766	104.7
s.cyc.34.45.0.000-0x0	Ox0-CX-s	-1025.92334	3.99	0.1917	4.50	0.0733	4.55	0.4345	-1327.71674	105.3
s.cyc.34.67.0.000-00x	Ox0-CX-s	-1025.91688	3.53	0.1590	4.22	0.1897	4.41	0.1294	-1327.71028	109.3
s.cyc.17.71.0.x00-x00	Ox0-CX-s	-1025.91603	3.88	0.5429	4.22	0.0000	4.72	0.0001	-1327.70943	109.9
d.lin.c.22.1.001-001	Ox1-AA-d	-1025.91208	2.32	1.7509	2.57	0.0008	2.70	0.3429	-1327.70858	110.4
d.lin.t.22.1.001-001	Ox1-AA-d	-1025.91103	2.20	1.2815	2.59	0.8070	2.59	0.0000	-1327.70754	111.0
s.cyc.34.54.0.000-0x0	Ox0-CX-s	-1025.91084	3.50	0.1880	4.19	0.1698	4.34	0.1880	-1327.70424	113.1
d.lin.c.27.1.001-001	Ox1-AB-d	-1025.91030	1.90	0.2636	2.32	0.0037	2.79	0.7559	-1327.70681	111.5
s.lin.c.23.1.011-000	Ox1-AA-s	-1025.90988	1.86	0.1020	2.57	0.0000	3.10	0.7393	-1327.70639	111.8
s.lin.t.23.1.011-000	Ox1-AA-s	-1025.90843	1.79	0.1391	2.57	0.0001	3.12	0.6866	-1327.70494	112.7
s.lin.t.22.1.011-000	Ox1-AA-s	-1025.90770	1.84	0.1404	2.52	0.0000	2.93	1.0876	-1327.70421	113.1
d.lin.t.23.1.001-100	Ox1-AA-d	-1025.90727	2.59	0.1061	2.65	0.3296	2.93	1.0347	-1327.70378	113.4
d.lin.c.24.1.001-010	Ox1-AB-d	-1025.90697	1.98	0.2220	2.36	0.0149	2.80	0.8264	-1327.70347	113.6
d.lin.c.23.1.001-100	Ox1-AA-d	-1025.90511	2.42	0.2254	2.64	0.0643	2.88	1.1785	-1327.70162	114.8
s.lin.c.22.1.011-000	Ox1-AA-s	-1025.90509	1.79	0.1668	2.51	0.0001	2.95	1.0451	-1327.70159	114.8
s.lin.t.23.1.101-000	Ox1-AA-s	-1025.90505	2.11	0.0206	3.02	0.7692	3.23	0.1934	-1327.70156	114.8
d.lin.t.27.1.001-001	Ox1-AB-d	-1025.90455	1.90	0.3027	2.44	0.0103	2.80	0.7214	-1327.70106	115.1
s.cyc.23.34.0.000-000	Ox0-C5-s	-1025.90390	3.52	0.0379	4.19	0.4855	4.33	0.3373	-1327.69730	117.5
d.lin.t.24.1.001-010	Ox1-AB-d	-1025.90258	1.98	0.2701	2.46	0.0022	2.85	0.8222	-1327.69908	116.3
s.lin.c.22.1.101-000	Ox1-AA-s	-1025.90249	2.04	0.0466	2.83	1.2455	3.04	0.0328	-1327.69900	116.4
s.lin.c.24.1.011-000	Ox1-AB-s	-1025.90227	1.81	0.0743	2.50	0.0000	2.96	0.2357	-1327.69878	116.5
s.cyc.23.43.0.000-000	Ox0-C5-s	-1025.90212	3.45	0.0861	4.03	0.3659	4.19	0.5118	-1327.69552	118.6
s.lin.c.27.1.011-000	Ox1-AB-s	-1025.90168	1.84	0.0717	2.50	0.0000	2.94	0.1490	-1327.69819	116.9
s.lin.c.23.1.101-000	Ox1-AA-s	-1025.90106	1.93	0.0321	2.98	0.6399	3.17	0.2679	-1327.69756	117.3
s.lin.c.24.1.000-011	Ox1-AB-s	-1025.90099	1.53	0.1622	2.52	0.0002	2.76	0.0254	-1327.69750	117.3
s.lin.t.24.1.011-000	Ox1-AB-s	-1025.90082	1.83	0.0853	2.50	0.0001	2.97	0.1308	-1327.69733	117.4
s.lin.c.27.1.000-011	Ox1-AB-s	-1025.90061	1.58	0.1180	2.52	0.0005	2.83	0.0219	-1327.69712	117.6
s.lin.c.27.1.101-000	Ox1-AB-s	-1025.90025	2.03	0.0098	2.45	0.0534	2.82	0.6358	-1327.69675	117.8
s.lin.c.23.1.000-011	Ox1-AA-s	-1025.89974	1.67	0.0445	2.45	0.0000	2.90	0.0015	-1327.69625	118.1
s.lin.t.24.1.000-011	Ox1-AB-s	-1025.89930	1.60	0.1620	2.50	0.0001	2.78	0.0391	-1327.69580	118.4
s.lin.t.22.1.101-000	Ox1-AA-s	-1025.89918	1.95	0.0586	2.81	1.1386	3.02	0.0694	-1327.69568	118.5
z.lin.t.23.1.001-001	Ox1-AA-z	-1025.89894	1.70	0.2704	2.38	0.0023	2.77	0.8346	-1327.69544	118.6
s.lin.t.34.1.000-011	Ox1-AB-s	-1025.89889	1.67	0.0982	2.44	0.0014	2.84	0.0096	-1327.69539	118.7
s.lin.t.23.1.000-011	Ox1-AA-s	-1025.89884	1.70	0.0422	2.45	0.0001	2.91	0.0029	-1327.69534	118.7
s.cyc.17.23.0.x00-000	Ox0-CX-s	-1025.89877	3.95	0.0174	4.37	0.2710	4.62	0.6126	-1327.69217	120.7
s.lin.c.34.1.000-011	Ox1-AB-s	-1025.89865	1.67	0.1018	2.53	0.0000	2.73	0.0167	-1327.69516	118.8
s.lin.t.27.1.011-000	Ox1-AB-s	-1025.89836	1.96	0.0728	2.48	0.0001	2.94	0.1001	-1327.69486	119.0
s.lin.t.33.1.011-000	Ox1-AA-s	-1025.89828	1.64	0.0353	2.47	0.0000	2.91	0.0027	-1327.69479	119.0
s.cyc.17.32.0.x00-000	Ox0-CX-s	-1025.89798	3.70	0.1444	4.12	0.3043	4.30	0.5877	-1327.69138	121.2
s.lin.t.37.1.000-011	Ox1-AB-s	-1025.89798	1.66	0.0754	2.43	0.0018	2.85	0.0105	-1327.69448	119.2
s.lin.c.37.1.000-011	Ox1-AB-s	-1025.89770	1.65	0.0810	2.50	0.0002	2.74	0.0154	-1327.69421	119.4
s.lin.t.27.1.000-011	Ox1-AB-s	-1025.89736	1.63	0.1144	2.50	0.0000	2.82	0.0306	-1327.69387	119.6
s.lin.c.33.1.011-000	Ox1-AA-s	-1025.89709	1.75	0.0397	2.47	0.0002	2.85	0.0019	-1327.69359	119.8
s.lin.t.23.1.000-101	Ox1-AA-s	-1025.89679	1.88	0.4316	2.90	0.3602	2.92	0.2017	-1327.69330	120.0
s.lin.c.77.1.011-000	Ox1-BB-s	-1025.89656	1.76	0.0574	2.51	0.0044	2.63	0.0023	-1327.69307	120.1
s.lin.c.47.1.011-000	Ox1-BB-s	-1025.89624	1.67	0.0721	2.42	0.0027	2.54	0.0037	-1327.69274	120.3
s.lin.t.34.1.011-000	Ox1-AB-s	-1025.89538	1.81	0.0372	2.46	0.0001	2.85	0.0046	-1327.69189	120.9
s.lin.t.47.1.000-011	Ox1-BB-s	-1025.89528	1.81	0.0657	2.42	0.0004	2.72	0.0022	-1327.69179	120.9
s.lin.c.47.1.000-011	Ox1-BB-s	-1025.89512	1.82	0.0655	2.46	0.0004	2.68	0.0027	-1327.69163	121.0
s.lin.c.44.1.011-000	Ox1-BB-s	-1025.89507	1.83	0.0737	2.45	0.0005	2.59	0.0020	-1327.69157	121.1
z.lin.c.23.1.001-001	Ox1-AA-z	-1025.89503	1.55	0.1750	2.26	0.0054	2.66	0.8515	-1327.69154	121.1
s.lin.t.44.1.011-000	Ox1-BB-s	-1025.89500	1.82	0.0745	2.39	0.0002	2.63	0.0027	-1327.69151	121.1
s.lin.c.33.1.101-000	Ox1-AA-s	-1025.89495	1.95	0.2660	2.96	0.1858	3.07	0.1416	-1327.69146	121.1
s.lin.t.37.1.011-000	Ox1-AB-s	-1025.89494	1.86	0.0405	2.44	0.0001	2.77	0.0044	-1327.69145	121.1
s.lin.c.37.1.011-000	Ox1-AB-s	-1025.89490	1.89	0.0426	2.44	0.0001	2.75	0.0007	-1327.69140	121.2
s.lin.t.33.1.101-000	Ox1-AA-s	-1025.89487	1.86	0.2492	2.87	0.1175	3.03	0.1618	-1327.69138	121.2
s.lin.c.23.1.000-101	Ox1-AA-s	-1025.89474	1.81	0.3586	2.81	0.2240	2.93	0.2380	-1327.69125	121.3
s.lin.c.34.1.011-000	Ox1-AB-s	-1025.89468	1.80	0.0385	2.46	0.0002	2.84	0.0036	-1327.69119	121.3
s.lin.t.77.1.011-000	Ox1-BB-s	-1025.89456	1.86	0.0633	2.42	0.0006	2.68	0.0006	-1327.69107	121.4
s.lin.t.47.1.011-000	Ox1-BB-s	-1025.89450	1.81	0.0764	2.35	0.0001	2.58	0.0011	-1327.69101	121.4
s.lin.t.27.1.000-101	Ox1-AB-s	-1025.89382	1.81	0.1344	2.48	0.3424	2.64	0.0111	-1327.69033	121.8
s.cyc.12.43.0.x00-000	Ox0-CX-s	-1025.89378	3.95	0.7124	4.10	0.0146	4.51	0.2377	-1327.68718	123.8
s.lin.t.27.1.101-000	Ox1-AB-s	-1025.89362	2.05	0.0011	2.70	0.0729	2.82	0.5469	-1327.69013	122.0
d.lin.c.22.1.100-001	Ox1-AA-d	-1025.89315	2.03	0.0112	2.38	0.3822	2.61	1.5258	-1327.68966	122.3
d.lin.t.33.1.100-100	Ox1-AA-d	-1025.89278	2.55	0.1167	2.66	0.0000	3.26	0.7266	-1327.68929	122.5
s.lin.t.24.1.101-000	Ox1-AB-s	-1025.89239	2.06	0.0036	2.69	0.0581	2.85	0.5573	-1327.68890	122.7
d.lin.c.33.1.100-100	Ox1-AA-d	-1025.89221	2.69	0.0059	2.70	0.1351	3.32	0.6518	-1327.68871	122.9
d.lin.t.22.1.100-001	Ox1-AA-d	-1025.89137	2.01	0.0162	2.38	0.3474	2.61	1.5728	-1327.68788	123.4
s.lin.c.27.1.000-101	Ox1-AB-s	-1025.89025	1.79	0.1201	2.35	0.2532	2.70	0.1039	-1327.68676	124.1
s.cyc.12.34.0.x00-000	Ox0-CX-s	-1025.89022	3.74	0.5671	3.94	0.0994	4.24	0.3529	-1327.68362	126.0
s.lin.c.23.1.110-000	Ox1-AA-s	-1025.89019	1.77	0.0770	3.06	0.4292	3.26	0.2546	-1327.68670	124.1
s.lin.c.24.1.101-000	Ox1-AB-s	-1025.88926	2.09	0.0009	2.73	0.0366	2.83	0.4712	-1327.68577	124.7
s.lin.t.22.1.110-000	Ox1-AA-s	-1025.88882	1.77	0.1132	2.95	0.7478	3.11	0.1026	-1327.68533	125.0
d.lin.c.37.1.100-001	Ox1-AB-d	-1025.88876	1.91	0.1716	2.34	0.0136	2.88	0.2935	-1327.68527	125.0
z.lin.t.23.1.001-010	Ox1-AA-z	-1025.88865	1.59	0.0487	2.40	0.0057	2.70	1.0536	-1327.68516	125.1
s.lin.c.34.1.101-000	Ox1-AB-s	-1025.88864	2.03	0.1486	2.67	0.0173	2.73	0.1040	-1327.68515	125.1
s.lin.c.24.1.000-101	Ox1-AB-s	-1025.88860	1.88	0.0604	2.84	0.0767	3.05	0.0687	-1327.68511	125.1
d.lin.t.37.1.100-001	Ox1-AB-d	-1025.88854	1.89	0.1416	2.32	0.0139	2.89	0.3897	-1327.68505	125.2
s.lin.t.34.1.101-000	Ox1-AB-s	-1025.88852	2.00	0.1614	2.64	0.0185	2.75	0.1340	-1327.68503	125.2
s.lin.t.37.1.000-101	Ox1-AB-s	-1025.88834	1.95	0.0414	2.51	0.1539	2.84	0.0328	-1327.68485	125.3
s.lin.c.37.1.000-101	Ox1-AB-s	-1025.88797	1.97	0.0530	2.53	0.1644	2.83	0.0199	-1327.68448	125.5
s.lin.c.22.1.110-000	Ox1-AA-s	-1025.88779	1.69	0.1065	2.95	0.6850	3.07	0.0973	-1327.68430	125.6
z.lin.c.24.1.001-001	Ox1-AB-z	-1025.88762	1.31	0.0307	2.16	0.0031	2.51	0.8678	-1327.68413	125.7
s.lin.c.27.1.110-000	Ox1-AB-s	-1025.88748	1.76	0.0492	2.55	0.0199	2.95	0.4181	-1327.68398	125.8
z.lin.t.22.1.010-001	Ox1-AA-z	-1025.88692	1.50	0.3199	2.30	0.3361	2.55	1.3662	-1327.68343	126.2
s.lin.t.24.1.000-101	Ox1-AB-s	-1025.88690	1.88	0.0530	2.88	0.0914	3.03	0.0310	-1327.68341	126.2
s.lin.t.34.1.000-101	Ox1-AB-s	-1025.88684	1.92	0.0301	2.81	0.0439	3.04	0.0225	-1327.68334	126.2
s.lin.t.37.1.101-000	Ox1-AB-s	-1025.88671	2.03	0.1344	2.54	0.0174	2.78	0.1070	-1327.68322	126.3
s.lin.t.23.1.110-000	Ox1-AA-s	-1025.88652	1.61	0.0729	3.03	0.1918	3.16	0.3639	-1327.68303	126.4
d.lin.t.77.1.001-001	Ox1-BB-d	-1025.88644	1.33	0.1768	1.75	0.0008	2.38	0.1511	-1327.68295	126.5
z.lin.c.22.1.010-001	Ox1-AA-z	-1025.88643	1.49	0.2408	2.41	0.0953	2.54	1.6781	-1327.68293	126.5
s.lin.t.77.1.101-000	Ox1-BB-s	-1025.88626	1.98	0.0280	2.26	0.0151	2.46	0.0898	-1327.68277	126.6
s.lin.c.37.1.101-000	Ox1-AB-s	-1025.88621	2.05	0.1294	2.69	0.0344	2.75	0.0837	-1327.68271	126.6
d.lin.t.34.1.100-010	Ox1-AB-d	-1025.88572	2.02	0.1075	2.48	0.0191	3.03	0.2890	-1327.68223	126.9
s.lin.c.34.1.000-101	Ox1-AB-s	-1025.88572	1.94	0.0325	2.74	0.0312	2.96	0.0039	-1327.68222	126.9
d.lin.t.27.1.100-001	Ox1-AB-d	-1025.88550	1.68	0.1845	1.74	0.0523	2.71	0.5368	-1327.68201	127.1
z.lin.t.24.1.001-001	Ox1-AB-z	-1025.88547	1.29	0.0203	2.20	0.0124	2.52	0.9156	-1327.68198	127.1
z.lin.c.23.1.001-010	Ox1-AA-z	-1025.88543	1.48	0.0797	2.24	0.0327	2.61	0.9421	-1327.68194	127.1
s.lin.c.47.1.101-000	Ox1-BB-s	-1025.88524	2.19	0.0263	2.68	0.0167	2.78	0.0092	-1327.68175	127.2
d.lin.c.34.1.100-010	Ox1-AB-d	-1025.88408	2.09	0.1262	2.62	0.0236	3.15	0.2130	-1327.68059	127.9
s.cyc.12.71.0.x00-x00	Ox0-CX-s	-1025.88391	4.02	0.6076	4.37	0.0110	4.64	0.1313	-1327.67731	130.0
s.lin.t.44.1.101-000	Ox1-BB-s	-1025.88334	2.11	0.0261	2.69	0.0046	2.76	0.0164	-1327.67985	128.4
s.cyc.17.17.0.x00-x00	Ox0-CX-s	-1025.88317	3.49	0.3247	4.16	0.0117	4.46	0.2315	-1327.67657	130.5
s.lin.c.47.1.000-101	Ox1-BB-s	-1025.88312	2.12	0.0216	2.44	0.0288	2.54	0.0158	-1327.67963	128.6
z.lin.c.27.1.001-010	Ox1-AB-z	-1025.88307	1.32	0.0119	2.15	0.0139	2.39	0.7723	-1327.67958	128.6
s.lin.c.44.1.101-000	Ox1-BB-s	-1025.88293	2.10	0.0274	2.68	0.0133	2.72	0.0018	-1327.67944	128.7
s.lin.t.47.1.000-101	Ox1-BB-s	-1025.88267	2.11	0.0201	2.43	0.0256	2.54	0.0210	-1327.67918	128.8
d.lin.c.77.1.100-001	Ox1-BB-d	-1025.88256	1.99	0.0164	2.38	0.0401	2.44	0.0365	-1327.67907	128.9
s.lin.t.47.1.101-000	Ox1-BB-s	-1025.88249	2.14	0.0258	2.59	0.0038	2.83	0.0195	-1327.67899	129.0
s.lin.t.27.1.110-000	Ox1-AB-s	-1025.88213	1.80	0.0377	2.76	0.0159	2.94	0.3039	-1327.67864	129.2
s.lin.c.23.1.000-110	Ox1-AA-s	-1025.88168	1.60	0.1161	2.85	0.0434	3.03	0.0363	-1327.67819	129.5
d.lin.c.47.1.010-001	Ox1-BB-d	-1025.88164	1.41	0.1611	1.94	0.0147	2.54	0.1254	-1327.67815	129.5
s.lin.c.24.1.000-110	Ox1-AB-s	-1025.88136	1.70	0.1239	2.47	0.2031	2.73	0.0992	-1327.67787	129.7
z.lin.c.37.1.001-001	Ox1-AB-z	-1025.88127	1.32	0.2435	1.84	0.0264	2.57	0.2015	-1327.67777	129.7
d.lin.c.44.1.010-010	Ox1-BB-d	-1025.88118	1.47	0.1460	1.93	0.0164	2.60	0.1289	-1327.67769	129.8
d.lin.t.23.1.100-100	Ox1-AA-d	-1025.88072	1.99	0.0063	2.44	0.1296	3.02	1.1298	-1327.67722	130.1
d.lin.t.47.1.010-001	Ox1-BB-d	-1025.88071	1.51	0.1522	1.88	0.0123	2.58	0.1446	-1327.67721	130.1
s.lin.c.34.1.000-110	Ox1-AB-s	-1025.88060	1.85	0.0687	2.58	0.1110	2.87	0.0200	-1327.67711	130.1
s.lin.t.33.1.110-000	Ox1-AA-s	-1025.88059	1.61	0.0775	2.89	0.0225	3.08	0.0156	-1327.67710	130.1
s.lin.t.34.1.000-110	Ox1-AB-s	-1025.88051	1.83	0.0570	2.56	0.0972	2.84	0.0282	-1327.67702	130.2
s.lin.t.24.1.000-110	Ox1-AB-s	-1025.88038	1.77	0.1277	2.58	0.2582	2.77	0.0394	-1327.67689	130.3
d.lin.c.77.1.001-001	Ox1-BB-d	-1025.88021	1.33	0.1777	1.95	0.0075	2.45	0.1091	-1327.67672	130.4
s.lin.t.23.1.000-110	Ox1-AA-s	-1025.88011	1.64	0.0934	2.83	0.0325	3.00	0.0263	-1327.67661	130.4
s.lin.t.24.1.110-000	Ox1-AB-s	-1025.87966	1.77	0.0407	2.78	0.0314	2.98	0.3161	-1327.67617	130.7
d.lin.c.23.1.100-100	Ox1-AA-d	-1025.87921	1.97	0.0054	2.44	0.1216	3.02	1.1680	-1327.67572	131.0
z.lin.c.33.1.100-001	Ox1-AA-z	-1025.87905	1.62	0.2100	2.26	0.0537	2.91	0.4117	-1327.67556	131.1
z.lin.c.24.1.010-010	Ox1-AB-z	-1025.87864	1.22	0.1498	1.78	0.0979	2.74	0.7424	-1327.67515	131.4
s.lin.t.27.1.000-110	Ox1-AB-s	-1025.87861	1.80	0.0256	2.83	0.1477	2.95	0.0078	-1327.67512	131.4
s.lin.c.33.1.110-000	Ox1-AA-s	-1025.87833	1.70	0.0549	2.77	0.0124	2.92	0.0037	-1327.67484	131.6
s.lin.c.24.1.110-000	Ox1-AB-s	-1025.87773	1.88	0.0190	2.81	0.0165	2.93	0.2721	-1327.67423	131.9
z.lin.t.37.1.001-001	Ox1-AB-z	-1025.87764	1.20	0.2063	1.69	0.0394	2.42	0.2307	-1327.67415	132.0
z.lin.t.33.1.100-001	Ox1-AA-z	-1025.87747	1.45	0.1809	2.12	0.0219	2.78	0.4418	-1327.67397	132.1
z.lin.c.27.1.010-001	Ox1-AB-z	-1025.87745	1.20	0.1801	1.80	0.1490	2.72	0.6212	-1327.67396	132.1
z.lin.c.23.1.010-100	Ox1-AA-z	-1025.87741	1.41	0.1645	2.33	0.1283	2.86	1.0808	-1327.67392	132.1
z.lin.c.34.1.001-010	Ox1-AB-z	-1025.87736	1.44	0.2413	1.88	0.0242	2.73	0.1934	-1327.67387	132.2
z.lin.t.23.1.010-100	Ox1-AA-z	-1025.87736	1.38	0.1295	2.38	0.0949	2.90	1.1389	-1327.67387	132.2
d.lin.t.27.1.001-100	Ox1-AB-d	-1025.87732	1.96	0.2812	2.17	0.4951	2.21	0.0149	-1327.67383	132.2
s.lin.t.37.1.000-110	Ox1-AB-s	-1025.87643	1.88	0.0094	2.74	0.0543	3.05	0.0174	-1327.67293	132.8
s.lin.c.37.1.000-110	Ox1-AB-s	-1025.87601	1.92	0.0097	2.72	0.0292	2.98	0.0041	-1327.67252	133.0
s.lin.t.34.1.110-000	Ox1-AB-s	-1025.87579	1.81	0.0450	2.66	0.0034	2.79	0.0113	-1327.67229	133.2
d.lin.t.24.1.100-010	Ox1-AB-d	-1025.87549	1.77	0.1005	1.83	0.1024	2.89	0.6548	-1327.67200	133.3
s.lin.c.37.1.110-000	Ox1-AB-s	-1025.87529	1.89	0.0430	2.54	0.0016	2.73	0.0050	-1327.67179	133.5
s.lin.t.77.1.110-000	Ox1-BB-s	-1025.87523	1.99	0.0081	2.57	0.0033	2.75	0.0434	-1327.67174	133.5
z.lin.t.27.1.010-001	Ox1-AB-z	-1025.87514	1.20	0.1820	1.75	0.1617	2.70	0.5624	-1327.67165	133.6
s.lin.t.37.1.110-000	Ox1-AB-s	-1025.87511	1.84	0.0433	2.57	0.0023	2.81	0.0098	-1327.67162	133.6
s.lin.c.34.1.110-000	Ox1-AB-s	-1025.87495	1.81	0.0421	2.67	0.0047	2.70	0.0045	-1327.67146	133.7
z.lin.t.34.1.001-010	Ox1-AB-z	-1025.87483	1.32	0.1940	1.72	0.0272	2.56	0.2004	-1327.67134	133.8
s.lin.c.44.1.110-000	Ox1-BB-s	-1025.87481	1.99	0.0264	2.43	0.0190	2.53	0.0147	-1327.67131	133.8
s.lin.t.44.1.110-000	Ox1-BB-s	-1025.87445	1.97	0.0253	2.42	0.0137	2.53	0.0206	-1327.67096	134.0
s.lin.c.27.1.000-110	Ox1-AB-s	-1025.87420	1.88	0.0147	2.77	0.1030	3.11	0.0206	-1327.67070	134.2
s.lin.c.47.1.110-000	Ox1-BB-s	-1025.87406	1.84	0.0227	2.35	0.0149	2.43	0.0317	-1327.67056	134.2
d.lin.c.24.1.001-100	Ox1-AB-d	-1025.87400	1.80	0.3860	2.17	0.1110	2.36	0.3758	-1327.67051	134.3
z.lin.t.24.1.010-010	Ox1-AB-z	-1025.87382	1.28	0.1521	1.80	0.1507	2.82	0.6697	-1327.67033	134.4
s.lin.c.47.1.000-110	Ox1-BB-s	-1025.87349	2.04	0.0095	2.74	0.0179	2.84	0.0103	-1327.67000	134.6
s.lin.t.47.1.000-110	Ox1-BB-s	-1025.87329	2.02	0.0102	2.70	0.0060	2.78	0.0113	-1327.66980	134.7
d.lin.t.24.1.001-100	Ox1-AB-d	-1025.87319	1.77	0.2556	2.27	0.3544	2.32	0.2612	-1327.66970	134.8
s.lin.t.47.1.110-000	Ox1-BB-s	-1025.87302	1.94	0.0257	2.30	0.0076	2.55	0.0278	-1327.66953	134.9
s.lin.c.77.1.110-000	Ox1-BB-s	-1025.87239	2.07	0.0120	2.59	0.0020	2.82	0.0042	-1327.66890	135.3
d.lin.c.27.1.100-001	Ox1-AB-d	-1025.87215	1.69	0.0879	1.78	0.1705	2.70	0.1416	-1327.66865	135.4
z.lin.c.23.1.010-001	Ox1-AA-z	-1025.87136	1.36	0.2615	1.61	0.0054	2.64	0.3949	-1327.66787	135.9
d.lin.t.44.1.010-010	Ox1-BB-d	-1025.87128	1.50	0.1519	1.90	0.0021	2.53	0.0689	-1327.66778	136.0
z.lin.c.33.1.001-001	Ox1-AA-z	-1025.87076	1.25	0.4180	1.56	0.0187	2.57	0.2729	-1327.66727	136.3
d.lin.c.27.1.001-100	Ox1-AB-d	-1025.87068	1.95	0.5336	2.08	0.0145	2.30	0.2967	-1327.66719	136.4
z.lin.c.37.1.010-001	Ox1-AB-z	-1025.86928	1.17	0.0252	1.71	0.1727	2.50	0.2009	-1327.66579	137.2
z.lin.t.23.1.100-001	Ox1-AA-z	-1025.86922	1.40	0.2921	1.60	0.0315	2.66	0.6431	-1327.66573	137.3
d.lin.c.24.1.100-010	Ox1-AB-d	-1025.86895	1.90	0.1390	1.97	0.0774	2.82	0.0152	-1327.66546	137.4
z.lin.t.23.1.010-001	Ox1-AA-z	-1025.86790	1.14	0.2004	1.61	0.0057	2.61	0.3721	-1327.66440	138.1
z.lin.c.23.1.100-001	Ox1-AA-z	-1025.86747	1.38	0.2604	1.61	0.0576	2.68	0.6584	-1327.66397	138.4
z.lin.c.24.1.010-001	Ox1-AB-z	-1025.86695	1.32	0.0203	1.53	0.0950	2.60	0.3251	-1327.66346	138.7
z.lin.c.33.1.100-010	Ox1-AA-z	-1025.86685	1.44	0.0375	2.25	0.0749	2.88	0.5310	-1327.66336	138.8
z.lin.t.33.1.100-010	Ox1-AA-z	-1025.86685	1.34	0.0634	2.12	0.0775	2.75	0.5208	-1327.66336	138.8
z.lin.t.47.1.001-001	Ox1-BB-z	-1025.86654	0.87	0.0081	1.56	0.1192	2.15	0.0749	-1327.66304	139.0
